AC/DC difference for simulated_acdc, range 1000 V;;;;
          ; gain         ; gain         ; u(gain)     ; u(gain)
900000;6.156575407756584e-05;6.156575407756584e-05;1e-08;1e-08
910000;6.220235633888299e-05;6.220235633888299e-05;1e-08;1e-08
920000;6.283904657284698e-05;6.283904657284698e-05;1e-08;1e-08
930000;6.34758317651342e-05;6.34758317651342e-05;1e-08;1e-08
940000;6.411271867447486e-05;6.411271867447486e-05;1e-08;1e-08
950000;6.474971384170196e-05;6.474971384170196e-05;1e-08;1e-08
960000;6.538682359835964e-05;6.538682359835964e-05;1e-08;1e-08
970000;6.602405407489044e-05;6.602405407489044e-05;1e-08;1e-08
980000;6.666141120843143e-05;6.666141120843143e-05;1e-08;1e-08
990000;6.729890075023813e-05;6.729890075023813e-05;1e-08;1e-08
1000000;6.793652827275873e-05;6.793652827275873e-05;1e-08;1e-08
