0.096	838
0.09625	845
0.0965	845
0.09675	828
0.097	826
0.09725	821
0.0975	817
0.09775	810
0.098	811
0.09825	805
0.0985	792
0.09875	780
0.099	788
0.09925	778
0.0995	772
0.09975	769
0.1	757
0.10025	753
0.1005	753
0.10075	749
0.101	743
0.10125	726
0.1015	724
0.10175	719
0.102	714
0.10225	710
0.1025	700
0.10275	698
0.103	686
0.10325	684
0.1035	676
0.10375	668
0.104	667
0.10425	657
0.1045	655
0.10475	639
0.105	635
0.10525	619
0.1055	621
0.10575	611
0.106	607
0.10625	599
0.1065	593
0.10675	583
0.107	566
0.10725	565
0.1075	561
0.10775	551
0.108	543
0.10825	542
0.1085	544
0.10875	524
0.109	532
0.10925	507
0.1095	507
0.10975	505
0.11	486
0.11025	483
0.1105	478
0.11075	476
0.111	462
0.11125	460
0.1115	445
0.11175	442
0.112	439
0.11225	433
0.1125	421
0.11275	426
0.113	403
0.11325	407
0.1135	394
0.11375	394
0.114	381
0.11425	377
0.1145	367
0.11475	363
0.115	354
0.11525	355
0.1155	342
0.11575	333
0.116	325
0.11625	320
0.1165	314
0.11675	310
0.117	296
0.11725	289
0.1175	290
0.11775	285
0.118	277
0.11825	271
0.1185	278
0.11875	264
0.119	254
0.11925	243
0.1195	252
0.11975	244
0.12	238
0.12025	226
0.1205	221
0.12075	221
0.121	224
0.12125	211
0.1215	208
0.12175	211
0.122	202
0.12225	204
0.1225	198
0.12275	190
0.123	189
0.12325	193
0.1235	183
0.12375	175
0.124	177
0.12425	174
0.1245	162
0.12475	175
0.125	167
0.12525	165
0.1255	161
0.12575	162
0.126	153
0.12625	157
0.1265	154
0.12675	160
0.127	147
0.12725	152
0.1275	156
0.12775	144
0.128	143
0.12825	144
0.1285	153
0.12875	142
0.129	143
0.12925	153
0.1295	142
0.12975	146
0.13	146
0.13025	142
0.1305	146
0.13075	152
0.131	149
0.13125	152
0.1315	148
0.13175	157
0.132	157
0.13225	163
0.1325	156
0.13275	166
0.133	172
0.13325	169
0.1335	171
0.13375	181
0.134	170
0.13425	174
0.1345	184
0.13475	179
0.135	185
0.13525	184
0.1355	186
0.13575	196
0.136	205
0.13625	213
0.1365	201
0.13675	213
0.137	223
0.13725	218
0.1375	234
0.13775	235
0.138	241
0.13825	243
0.1385	259
0.13875	254
0.139	258
0.13925	267
0.1395	273
0.13975	279
0.14	290
0.14025	309
0.1405	313
0.14075	315
0.141	310
0.14125	327
0.1415	324
0.14175	335
0.142	347
0.14225	347
0.1425	362
0.14275	360
0.143	377
0.14325	377
0.1435	388
0.14375	400
0.144	409
0.14425	407
0.1445	419
0.14475	426
0.145	440
0.14525	446
0.1455	446
0.14575	465
0.146	476
0.14625	479
0.1465	493
0.14675	493
0.147	514
0.14725	525
0.1475	533
0.14775	534
0.148	538
0.14825	557
0.1485	562
0.14875	568
0.149	578
0.14925	590
0.1495	588
0.14975	611
0.15	616
0.15025	629
0.1505	639
0.15075	641
0.151	663
0.15125	656
0.1515	674
0.15175	683
0.152	689
0.15225	696
0.1525	708
0.15275	729
0.153	740
0.15325	748
0.1535	755
0.15375	768
0.154	778
0.15425	792
0.1545	801
0.15475	805
0.155	817
0.15525	824
0.1555	831
0.15575	843
0.156	852
0.15625	855
0.1565	870
0.15675	880
0.157	889
0.15725	900
0.1575	906
0.15775	911
0.158	918
0.15825	935
0.1585	950
0.15875	944
0.159	961
0.15925	959
0.1595	976
0.15975	979
0.16	1002
0.16025	997
0.1605	1023
0.16075	1019
0.161	1037
0.16125	1037
0.1615	1048
0.16175	1053
0.162	1060
0.16225	1064
0.1625	1075
0.16275	1082
0.163	1106
0.16325	1098
0.1635	1114
0.16375	1118
0.164	1113
0.16425	1126
0.1645	1131
0.16475	1142
0.165	1149
0.16525	1157
0.1655	1168
0.16575	1170
0.166	1173
0.16625	1182
0.1665	1178
0.16675	1182
0.167	1196
0.16725	1204
0.1675	1184
0.16775	1209
0.168	1211
0.16825	1213
0.1685	1211
0.16875	1226
0.169	1226
0.16925	1244
0.1695	1235
0.16975	1239
0.17	1242
0.17025	1256
0.1705	1250
0.17075	1256
0.171	1254
0.17125	1253
0.1715	1266
0.17175	1270
0.172	1267
0.17225	1270
0.1725	1269
0.17275	1272
0.173	1274
0.17325	1265
0.1735	1280
0.17375	1280
0.174	1278
0.17425	1280
0.1745	1283
0.17475	1279
0.175	1283
0.17525	1283
0.1755	1285
0.17575	1287
0.176	1277
0.17625	1283
0.1765	1277
0.17675	1278
0.177	1273
0.17725	1288
0.1775	1272
0.17775	1274
0.178	1273
0.17825	1281
0.1785	1267
0.17875	1282
0.179	1263
0.17925	1260
0.1795	1255
0.17975	1258
0.18	1242
0.18025	1248
0.1805	1249
0.18075	1245
0.181	1233
0.18125	1236
0.1815	1227
0.18175	1233
0.182	1225
0.18225	1221
0.1825	1216
0.18275	1208
0.183	1198
0.18325	1201
0.1835	1195
0.18375	1191
0.184	1187
0.18425	1179
0.1845	1171
0.18475	1171
0.185	1163
